rectab_id	table_name	record_field_id	parent_id	title	available	private	nrows	notes
800	covid19_vaccination	32040	0	COVID-19 vaccination records	0	1	1803596	Covid-19 vaccination records
924	omop_condition_era	20142	0	OMOP Condition Era	0	1	30110372	In omop_condition_era, a Condition Era is defined as a span of time when the Person is assumed to have a given condition. Similar to Drug Eras, Condition Eras are chronological periods of Condition Occurrence. <br> Further details are provided in the Standardized Derived Elements specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#CONDITION_ERA~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
925	omop_condition_occurrence	20142	0	OMOP Condition Occurrence	0	1	34591861	omop_condition_occurrence contains records of Events of a Person suggesting the presence of a disease or medical condition stated as a diagnosis, a sign, or a symptom.  <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#CONDITION_ERA~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
926	omop_death	20142	0	OMOP Death	0	1	32834	The omop_death table contains the clinical event for how and when a Person dies. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#DEATH~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
927	omop_device_exposure	20142	0	OMOP Device Exposure	0	1	1980896	The omop_device_exposure table captures information about a person's exposure to a foreign physical object or instrument which is used for diagnostic or therapeutic purposes through a mechanism beyond chemical action.Ā<br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#DEVICE_EXPOSURE~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
928	omop_dose_era	20142	0	OMOP Dose Era	0	1	34293	A Dose Era is defined as a span of time when the Person is assumed to be exposed to a constant dose of a specific active ingredient. These are detailed in the omop_dose_era table.Ā<br> Further details can be found in the OMOP CDM Standardized Derived Elements specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#DOSE_ERA~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
929	omop_drug_era	20142	0	OMOP Drug Era	0	1	19955206	A Drug Era is defined as a span of time when the Person is assumed to be exposed to a particular active ingredient. A Drug Era is not the same as a Drug Exposure. Drug Eras are detailed in the omop_drug_era table.Ā<br> Further details can be found in the OMOP CDM Standardized Derived Elements specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#DRUG_ERA~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
930	omop_drug_exposure	20142	0	OMOP Drug Exposure	0	1	55081718	The omop_drug_exposure table captures records about the exposure to a Drug ingested or otherwise introduced into the body. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#DRUG_EXPOSURE~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
931	omop_measurement	20142	0	OMOP Measurement	0	1	241287604	The omop_measurement table contains records of Measurements, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a Person or Person's sample. The omop_measurement table contains both orders and results of such Measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#MEASUREMENT~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
932	omop_note	20142	0	OMOP Note	0	1	17144	The omop_note table captures unstructured information that was recorded by a provider about a patient in free text (in ASCII, or preferably in UTF8 format) notes on a given date. The omop_note table contains free-text causes of death from the  Medical Certificate of Cause of Death (MCCD), origin and format of death record from the death registry. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#NOTE~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
933	omop_observation	20142	0	OMOP Observation Period	0	1	686916772	The omop_observation_period table contains records which define spans of time during which two conditions are expected to hold: (i) Clinical Events that happened to the Person are recorded in the Event tables, and (ii) absense of records indicate such Events did not occur during this span of time. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#OBSERVATION_PERIOD~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
934	omop_observation_period	20142	0	OMOP Observation	0	1	502141	The omop_observation table captures clinical facts about a Person obtained in the context of examination, questioning or a procedure. Any data that cannot be represented by any other domains, such as social and lifestyle facts, medical history, family history, etc. are recorded here. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#OBSERVATION~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
935	omop_person	20142	0	OMOP Person	0	1	502141	The omop_person table serves as the central identity management for all Persons in the database. It contains records that uniquely identify each person or patient, and some demographic information. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#PERSON~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
936	omop_procedure_occurrence	20142	0	OMOP Procedure Occurrence	0	1	14416601	The omop_procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient with a diagnostic or therapeutic purpose. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#PROCEDURE_OCCURRENCE~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
937	omop_specimen	20142	0	OMOP Specimen	0	1	5449586	The specimen domain contains the records identifying biological samples from a person. The omop_specimen table contains details of these records. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#SPECIMEN~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
938	omop_visit_detail	20142	0	OMOP Visit Detail	0	1	2566870	The omop_visit_detail table represents details of each record in the parent omop_visit_occurrence table. A good example of this would be the movement between units in a hospital during an inpatient stay. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#VISIT_DETAIL~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
939	omop_visit_occurrence	20142	0	OMOP Visit Occurrence	0	1	3222431	The omop_visit_occurrence table contains Events where Persons engage with the healthcare system for a duration of time. <br> Further details can be found in the OMOP CDM Clinical Data Tables specifications - ~Ehttps://ohdsi.github.io/CommonDataModel/cdm53.html#VISIT_OCCURRENCE~<br><b>Due to some data quality issues identified by research groups who have been using the returned OMOP derivation dataset, the record-level tables are now  restricted. Please see ~F20142~ for more information.</b>
1051	covid19_misc	40100	0	COVID-19 miscellaneous	0	0	487370	Participants' blood group extracted from imputed genotyped data (Field 23165)
1053	covid19_result_england	40100	0	COVID-19 test results (England)	0	0	759406	Covid-19 test results (England)
1054	covid19_result_scotland	40100	0	COVID-19 test results (Scotland)	0	0	124225	Covid-19 test results (Scotland)
1055	covid19_result_wales	40100	0	COVID-19 test results (Wales)	0	0	40924	Covid-19 test results (Wales)
1058	death	40023	0	Death records	0	0	57021	Death records
1059	death_cause	40023	1058	Death causes	0	0	148782	Causes of death
1060	gp_clinical	42040	0	GP clinical events	0	0	118245897	GP clinical data (for 45% of the cohort)
1061	gp_registrations	42038	0	GP registrations	0	0	361471	GP registrations data (for 45% of the cohort)
1062	gp_scripts	42039	0	GP prescriptions	0	0	56215592	GP prescription data (for 45% of the cohort)
1063	hesin	41259	0	HES inpatient core dataset	0	0	4354079	Hospital inpatient admissions
1065	hesin_critical	41290	1063	HES inpatient critical care	0	0	38943	Critical care administered during an admission (where applicable)
1066	hesin_delivery	41264	1068	HES inpatient delivery	0	0	33187	Information on the delivery of a child during an admission (where applicable)
1067	hesin_diag	41234	1063	HES inpatient diagnoses	0	0	18365013	Diagnosis codes recorded in an inpatient admission
1068	hesin_maternity	41261	0	HES inpatient maternity	0	0	30921	Maternity-related information for an admission (where applicable)
1069	hesin_oper	41149	1063	HES inpatient operations	0	0	9038952	Operations and procedures performed during an inpatient admission
1070	hesin_psych	41289	0	HES inpatient psychiatric	0	0	3826900	Administrative psychiatry-related information for an admission (where applicable)
1071	olink_control	30904	0	OLINK control duplicates	0	1	3408335	
1072	olink_data	30900	0	OLINK protein biomarkers	0	0	142322390	
